name,male,frequency_score
アレックス,0.935,0.76
博史,1.0,0.707
彩佳,0.0,0.714
ジョージ,1.0,0.726
若菜,0.059,0.746
博久,1.0,0.696
正広,1.0,0.706
敏行,0.857,0.734
ユウキ,1.0,0.705
ユウジ,1.0,0.695
幸司,1.0,0.705
達彦,1.0,0.695
貴司,0.667,0.737
良介,1.0,0.713
直希,0.8,0.712
夏樹,0.455,0.718
奈緒,0.0,0.712
りえ,0.105,0.748
ゆうか,0.0,0.757
美江,0.111,0.743
勇二,1.0,0.693
絵里,0.083,0.723
隆宏,1.0,0.711
石井,0.667,0.703
利幸,1.0,0.711
利之,0.889,0.703
太田,0.875,0.703
川口,0.6,0.71
朱里,0.0,0.692
治子,0.111,0.702
浩美,0.125,0.692
映子,0.0,0.709
久恵,0.0,0.701
みわ,0.125,0.691
公美子,0.0,0.691
義治,1.0,0.701
明弘,1.0,0.736
千代子,0.0,0.701
智一,1.0,0.715
早希,0.0,0.69
友希,0.455,0.72
高志,1.0,0.708
愛梨,0.0,0.732
亜矢子,0.0,0.7
菊池,0.8,0.708
宗一郎,1.0,0.69
るみ,0.0,0.699
大助,0.909,0.714
悠斗,0.917,0.719
斉藤,0.75,0.689
正司,1.0,0.689
マルセロ,1.0,0.723
長谷川,0.75,0.689
真緒,0.0,0.689
ようこ,0.0,0.727
慎介,1.0,0.698
一哉,1.0,0.698
佳美,0.021,0.76
春花,0.045,0.77
智博,0.971,0.755
小野,0.7,0.744
アラン,0.923,0.746
秀平,0.235,0.763
貴明,1.0,0.751
哲司,1.0,0.682
こころ,0.077,0.724
康宏,1.0,0.702
将之,1.0,0.693
耕司,1.0,0.681
宏行,1.0,0.708
敦史,1.0,0.692
あいこ,0.0,0.744
美加,0.062,0.731
理絵,0.0,0.701
たまき,0.25,0.692
俊子,0.0,0.68
麻紀,0.0,0.754
佑輔,1.0,0.68
咲子,0.0,0.68
けいた,0.941,0.733
英二,1.0,0.691
龍彦,1.0,0.691
工藤,0.857,0.691
健児,1.0,0.69
松浦,0.667,0.699
武司,1.0,0.69
莉子,0.0,0.711
松永,0.556,0.698
京香,0.0,0.678
あさみ,0.053,0.734
奈緒子,0.0,0.677
カズ,0.8,0.704
あやこ,0.0,0.71
正輝,1.0,0.741
未央,0.0,0.714
祐哉,1.0,0.688
昭仁,0.952,0.737
杏子,0.037,0.745
清治,0.917,0.714
高木,0.667,0.696
晴菜,0.0,0.676
翔太郎,1.0,0.696
美菜,0.0,0.723
コウジ,1.0,0.695
徳子,0.0,0.686
山下,0.5,0.686
照美,0.0,0.695
竜二,1.0,0.686
まりあ,0.0,0.702
