name,male,frequency_score
さと,0.333,0.275
浩毅,1.0,0.338
卓治,1.0,0.275
ヒロアキ,0.8,0.347
未奈,0.0,0.326
はま,0.75,0.31
裕士,1.0,0.274
時子,0.0,0.297
諒也,1.0,0.274
タマン,0.667,0.274
ムラ,1.0,0.273
柳田,0.6,0.309
瑠花,0.0,0.273
英隆,1.0,0.329
初子,0.25,0.295
泰人,1.0,0.273
コウスケ,1.0,0.273
桂介,1.0,0.272
隆盛,1.0,0.323
篤司,1.0,0.272
美輝,0.0,0.339
将希,1.0,0.271
政樹,1.0,0.294
幸助,1.0,0.271
勇太郎,1.0,0.271
由香子,0.0,0.293
昇吾,1.0,0.271
大空,1.0,0.271
洋太,1.0,0.293
すずき,0.0,0.293
勝行,1.0,0.292
久仁子,0.0,0.27
ジム,0.75,0.292
カズミ,0.2,0.306
紀彦,1.0,0.27
みづほ,0.0,0.269
厚志,1.0,0.314
晃介,1.0,0.269
卓志,1.0,0.314
青空,0.0,0.269
史彦,1.0,0.269
馨子,0.0,0.291
新太郎,1.0,0.305
菜々美,0.0,0.305
哲二,1.0,0.268
リッキー,1.0,0.304
栄介,1.0,0.268
優雅,0.375,0.324
カンパニー,1.0,0.268
英昭,1.0,0.29
リョウタ,0.778,0.328
咲夜,0.333,0.268
栞奈,0.0,0.268
かずゆき,1.0,0.268
甲斐,0.5,0.29
ハルキ,1.0,0.29
卓郎,1.0,0.289
啓人,1.0,0.267
岡村,0.667,0.289
基樹,1.0,0.267
和浩,1.0,0.267
孝史,1.0,0.266
ラビ,1.0,0.302
ムハンマド,1.0,0.343
隆仁,1.0,0.317
竜士,1.0,0.266
貞治,0.714,0.317
豊大,1.0,0.266
慶介,1.0,0.288
英博,1.0,0.317
華奈,0.0,0.265
遥菜,0.0,0.265
富子,0.0,0.288
栄美子,0.0,0.265
道孝,1.0,0.287
佑磨,1.0,0.265
勇亮,1.0,0.31
晃二,1.0,0.264
ニーナ,0.0,0.287
ひより,0.0,0.264
しずく,0.0,0.3
ミノル,1.0,0.264
多佳子,0.0,0.264
太輔,1.0,0.286
隆敏,1.0,0.263
仲宗根,0.667,0.263
リエ,0.167,0.308
響子,0.0,0.286
ナオト,0.636,0.329
利男,1.0,0.263
アケミ,0.333,0.285
桜井,1.0,0.285
瑠璃子,0.0,0.285
光将,1.0,0.263
直純,1.0,0.262
千賀,0.0,0.298
伸高,1.0,0.285
芙美子,0.0,0.262
朋之,1.0,0.262
ソフィア,0.0,0.322
修人,1.0,0.261
麻紀子,0.0,0.297
萌々,0.0,0.261
ヒサシ,1.0,0.261
もか,0.2,0.297
遥子,0.0,0.261
ハイメ,1.0,0.305
忠男,1.0,0.305
謙慈,1.0,0.296
美砂,0.056,0.335
美姫,0.0,0.329
敦志,1.0,0.282
侑子,0.0,0.282
佳紀,1.0,0.295
泰春,1.0,0.282
忠美,0.571,0.315
弘治,1.0,0.295
恒子,0.0,0.259
泰輝,1.0,0.295
菜穂,0.0,0.31
日奈子,0.0,0.258
謙太郎,1.0,0.28
佐久間,0.0,0.258
駿吾,1.0,0.257
実里,0.0,0.293
宗治,0.857,0.317
友輝,0.833,0.302
山村,0.75,0.279
克二,1.0,0.256
真和,1.0,0.256
怜香,0.0,0.256
義信,1.0,0.292
アキオ,1.0,0.256
雄飛,1.0,0.312
佳樹,0.75,0.329
晴奈,0.0,0.255
すぐる,1.0,0.255
一義,1.0,0.278
彩果,0.0,0.255
クリスティーナ,0.0,0.325
彰紀,1.0,0.277
慶次,1.0,0.277
耕治,1.0,0.254
奈歩,0.0,0.254
佐智子,0.0,0.254
克巳,1.0,0.276
道博,1.0,0.276
謙介,1.0,0.276
郁也,1.0,0.298
理一,1.0,0.253
輝幸,1.0,0.253
利昭,1.0,0.253
かつひこ,1.0,0.253
浩代,0.0,0.275
信広,1.0,0.288
研二,1.0,0.275
勝昭,1.0,0.252
洋志,1.0,0.252
裕佳,0.5,0.297
昌克,1.0,0.252
みつえ,0.0,0.274
剛生,1.0,0.252
忠久,1.0,0.252
勝之,1.0,0.251
真祐,0.333,0.251
乃愛,0.0,0.251
アスカ,0.0,0.287
奈奈,0.107,0.331
義隆,1.0,0.302
一政,1.0,0.273
耕太,1.0,0.25
元貴,1.0,0.295
志乃,0.0,0.286
路子,0.0,0.25
陽祐,1.0,0.25
正二,1.0,0.272
直文,1.0,0.25
公太,1.0,0.25
義郎,1.0,0.272
孝次,1.0,0.249
高幸,1.0,0.271
喜一郎,1.0,0.249
淳二,1.0,0.249
善行,0.917,0.316
サイ,0.875,0.305
大史,1.0,0.248
しげ子,0.0,0.248
長島,0.0,0.248
育美,0.0,0.299
慎治,1.0,0.248
智憲,1.0,0.27
さま,1.0,0.299
悠花,0.0,0.27
竣哉,1.0,0.27
良夫,1.0,0.247
古賀,0.5,0.269
こうた,1.0,0.292
清明,0.929,0.319
隆信,1.0,0.269
ちゃこ,0.0,0.247
アントニオ,1.0,0.314
せりな,0.0,0.246
としひろ,1.0,0.269
裕二郎,1.0,0.246
晴久,1.0,0.246
角田,0.75,0.268
洸太郎,1.0,0.245
優佑,1.0,0.245
雪乃,0.0,0.245
眞由美,0.0,0.267
貴生,0.952,0.322
ダイスケ,1.0,0.267
洸太朗,1.0,0.245
ヒロ子,0.0,0.244
佳恵,0.0,0.289
志野,0.25,0.267
圭二,1.0,0.244
千絵子,0.0,0.244
奥村,0.667,0.295
陽大,1.0,0.266
チエコ,0.0,0.244
明仁,1.0,0.327
康司,1.0,0.265
幸志,1.0,0.265
かつや,1.0,0.243
アリフ,0.6,0.279
辰夫,1.0,0.242
益弘,1.0,0.302
アルマンド,1.0,0.278
晃司,1.0,0.287
福山,0.944,0.318
健三郎,1.0,0.242
ミオ,0.167,0.287
吉明,1.0,0.315
さゆみ,0.0,0.264
信次,1.0,0.242
初恵,0.0,0.241
稜平,1.0,0.241
みう,0.0,0.241
ゆりこ,0.0,0.297
スレスタ,1.0,0.241
龍人,1.0,0.277
聖士,1.0,0.263
ベロニカ,0.0,0.285
実希,0.0,0.276
円香,0.0,0.24
英則,1.0,0.24
貴男,1.0,0.24
清文,0.863,0.324
まな美,0.0,0.239
俊春,1.0,0.239
沙耶,0.0,0.275
弘紀,1.0,0.239
重美,0.667,0.239
智津子,0.0,0.261
慎悟,1.0,0.261
千枝,0.0,0.238
ゆかこ,0.0,0.238
平井,0.6,0.274
かほり,0.0,0.26
典生,1.0,0.238
慶太郎,1.0,0.237
豊美,0.333,0.237
和章,1.0,0.259
茉里,0.0,0.237
範男,1.0,0.237
ひさし,1.0,0.237
宏貴,1.0,0.236
樹理,0.0,0.236
光江,0.25,0.259
義尚,1.0,0.258
哲弥,1.0,0.281
奈穂子,0.0,0.281
康行,1.0,0.236
力斗,1.0,0.235
かずお,1.0,0.258
高広,1.0,0.235
智世,0.2,0.271
直孝,1.0,0.257
アナリン,0.0,0.257
政隆,1.0,0.31
孝雄,1.0,0.286
悠河,1.0,0.234
美嘉,0.12,0.315
けんと,1.0,0.234
孝紀,1.0,0.256
マリー,0.0,0.299
ケンイチ,1.0,0.233
ファビアナ,0.333,0.233
宗平,0.95,0.31
なかの,0.667,0.233
わたなべ,0.333,0.233
繁樹,1.0,0.233
茂之,1.0,0.233
麻由子,0.0,0.255
里江子,0.0,0.232
崇生,1.0,0.255
道夫,1.0,0.283
しんいち,1.0,0.254
一史,1.0,0.232
増田,0.5,0.254
日和,0.625,0.288
白井,0.75,0.267
小島,0.5,0.267
雄祐,1.0,0.253
愛麗,0.0,0.276
邦行,1.0,0.253
すずか,0.014,0.316
だい,0.8,0.266
まる,0.5,0.23
信介,1.0,0.297
よしろう,1.0,0.229
沖縄,0.333,0.229
崇子,0.0,0.229
正直,0.6,0.274
としお,1.0,0.251
哲一,1.0,0.251
亜実,0.0,0.229
寿美子,0.0,0.251
ひでみ,0.333,0.228
規子,0.0,0.228
萌香,0.0,0.228
佐代子,0.0,0.25
勇仁,1.0,0.272
康孝,1.0,0.227
実花,0.0,0.298
克美,0.75,0.249
ぴー,1.0,0.227
広太,1.0,0.227
たま,0.2,0.263
俊也,1.0,0.249
久家,1.0,0.226
ラン,0.714,0.277
はづき,0.0,0.225
かつ,1.0,0.225
正己,1.0,0.261
多美,0.133,0.297
圭亮,1.0,0.225
幸祐,1.0,0.247
正孝,0.8,0.261
啓祐,1.0,0.247
秀作,1.0,0.224
裕矢,1.0,0.224
明夫,1.0,0.246
裕久,1.0,0.224
あきお,0.667,0.224
郁実,0.25,0.246
一枝,0.0,0.279
康予,0.0,0.223
夕夏,0.0,0.223
ハニー,0.0,0.223
義浩,1.0,0.259
まもる,0.75,0.279
聡太,1.0,0.222
利行,0.833,0.267
正康,1.0,0.29
たえ,0.0,0.222
永美子,0.0,0.222
一幸,0.75,0.278
茂幸,1.0,0.222
アリサ,0.25,0.244
有里子,0.0,0.244
香澄,0.25,0.243
忠雄,1.0,0.297
佳典,1.0,0.221
修一郎,1.0,0.243
広輝,1.0,0.22
アユミ,0.0,0.22
政義,0.929,0.291
貴夫,1.0,0.22
志津子,0.0,0.242
友一,1.0,0.242
英孝,1.0,0.219
泰裕,1.0,0.279
雅裕,1.0,0.241
真歩,0.2,0.255
公治,1.0,0.219
芳男,1.0,0.241
吉孝,1.0,0.218
なかた,0.333,0.218
栄次,1.0,0.218
大伟,0.991,0.293
楠楠,0.289,0.292
小花,0.108,0.293
金金,0.349,0.293
智慧,0.372,0.292
可心,0.129,0.29
振东,0.983,0.29
天成,1.0,0.291
佳文,0.396,0.29
晓露,0.115,0.286
立新,0.809,0.291
明昊,1.0,0.285
玉林,0.627,0.29
小雪,0.034,0.291
思涵,0.101,0.29
成成,0.86,0.29
婉莹,0.0,0.287
建超,0.946,0.287
振鹏,0.931,0.285
思文,0.512,0.287
天晴,0.386,0.287
小彬,0.854,0.287
文康,0.991,0.289
俊朗,0.979,0.287
海月,0.062,0.28
一明,1.0,0.285
桂花,0.014,0.289
明志,0.961,0.287
立娟,0.0,0.278
靖雯,0.008,0.288
靖博,1.0,0.272
海成,1.0,0.282
康明,0.963,0.282
文平,0.841,0.286
宏光,1.0,0.278
忠臣,1.0,0.266
依琳,0.051,0.287
忠杰,1.0,0.282
依林,0.211,0.279
志華,0.955,0.285
玉蘭,0.007,0.285
明輝,0.958,0.284
飛龍,0.979,0.282
淑琴,0.0,0.284
智康,0.974,0.28
廣明,1.0,0.276
海濱,0.952,0.276
レザ,1.0,0.223
澄香,0.0,0.19
堀越,0.5,0.19
マサキ,1.0,0.189
千都,0.5,0.189
美歩,0.0,0.256
武俊,1.0,0.249
広典,1.0,0.189
晃男,1.0,0.188
繁喜,1.0,0.218
雪恵,0.0,0.188
えみ子,0.0,0.187
とよこ,0.0,0.187
理砂,0.0,0.187
タカユキ,1.0,0.217
水島,0.0,0.187
隆男,1.0,0.187
雄河,1.0,0.187
慶一郎,1.0,0.187
瀬那,0.5,0.186
滝沢,1.0,0.186
寿実,0.0,0.186
未沙,0.0,0.231
一治,1.0,0.186
しずか,0.0,0.231
浩康,1.0,0.231
梅村,0.5,0.186
慎太朗,1.0,0.185
ケイ子,0.0,0.185
善幸,1.0,0.185
武人,1.0,0.185
輝恒,1.0,0.215
史代,0.0,0.185
そのみ,0.0,0.184
泰代,0.0,0.184
美絵子,0.0,0.184
大巨,1.0,0.184
華恵,0.0,0.184
仲本,0.0,0.184
豪志,1.0,0.228
多聞,1.0,0.183
徳山,1.0,0.183
勝博,1.0,0.228
一彰,1.0,0.183
晴樹,1.0,0.182
光春,0.857,0.247
雅崇,1.0,0.182
金満,1.0,0.182
右子,0.0,0.182
茂治,1.0,0.182
将夫,1.0,0.181
汐梨,0.0,0.181
明裕,1.0,0.262
圭史,1.0,0.181
常子,0.0,0.181
けんいちろう,1.0,0.18
真志,1.0,0.21
卓三,1.0,0.18
輝久,1.0,0.18
あつ子,0.0,0.18
奥山,0.667,0.21
ゆきひろ,1.0,0.18
和裕,1.0,0.179
寿治,1.0,0.179
アレクサンデル,1.0,0.209
みつ子,0.0,0.179
未希,0.0,0.239
菜絵,0.0,0.179
政江,0.333,0.209
紗菜,0.0,0.179
聖美,0.0,0.223
勝章,1.0,0.232
奈々恵,0.0,0.178
七星,0.0,0.232
高次,1.0,0.178
富田,0.667,0.208
研次,1.0,0.177
幸浩,1.0,0.177
利美,0.111,0.247
あづさ,0.0,0.177
ぱん,0.667,0.206
功太郎,1.0,0.176
理華,0.25,0.221
香穂里,0.0,0.206
亜記,0.0,0.176
聖都,1.0,0.176
ミホ,0.143,0.24
昌和,1.0,0.239
杏花,0.048,0.257
アツ子,0.0,0.175
辰美,1.0,0.175
しゅんた,1.0,0.174
末美,0.0,0.204
敏春,0.75,0.219
敦雄,1.0,0.228
瑠美子,0.0,0.174
謙一郎,1.0,0.174
尋子,0.0,0.174
初音,0.2,0.227
りよ,0.0,0.173
知実,0.0,0.173
ユウイチロウ,1.0,0.173
花鈴,0.0,0.203
綾郁,0.0,0.172
和伸,1.0,0.172
実菜,0.0,0.217
景太,1.0,0.217
タマラ,0.0,0.172
春人,1.0,0.172
建二,1.0,0.201
紀明,1.0,0.231
ドール,0.0,0.171
敦彦,1.0,0.171
義章,1.0,0.201
光伸,1.0,0.171
ジョー,1.0,0.245
さよこ,0.0,0.215
野田,0.333,0.234
柚香,0.0,0.17
壮史,1.0,0.17
充宏,1.0,0.2
良春,1.0,0.224
花澄,0.0,0.17
ミアン,1.0,0.17
ちよ,0.0,0.169
恵司,1.0,0.169
章宏,0.75,0.214
博孝,1.0,0.199
高行,1.0,0.169
憲人,1.0,0.199
下山,0.5,0.169
総一郎,1.0,0.168
佑二郎,1.0,0.198
ヤエ子,0.0,0.168
八郎,1.0,0.198
伸義,1.0,0.168
義康,1.0,0.168
響貴,1.0,0.167
真裕,1.0,0.167
檸檬,0.538,0.245
嘉洋,0.933,0.245
富美江,0.0,0.166
仁彦,1.0,0.166
善弘,1.0,0.211
利治,1.0,0.166
真以子,0.0,0.166
よし子,0.0,0.165
克一,1.0,0.165
秀杰,0.409,0.247
敏信,1.0,0.165
鉄雄,1.0,0.195
枝里,0.0,0.165
秀智,0.375,0.232
雅惠,0.006,0.253
大造,1.0,0.164
俊裕,1.0,0.236
グレッグ,1.0,0.164
コウヘイ,1.0,0.194
好正,1.0,0.194
真野,0.0,0.164
香鈴,0.0,0.164
ヤスヒロ,1.0,0.163
征太郎,1.0,0.163
フリオ,1.0,0.217
利孝,1.0,0.163
智奈美,0.0,0.163
照夫,1.0,0.162
アリネ,0.0,0.162
憲昭,1.0,0.207
雅巳,1.0,0.161
奈未,0.0,0.161
滉平,1.0,0.161
かつのり,1.0,0.16
ライト,0.5,0.205
ルシアナクリスチナ,0.0,0.16
欣儀,0.015,0.247
ミチ子,0.0,0.16
展章,1.0,0.19
あいか,0.0,0.224
誠志,1.0,0.227
貴代美,0.0,0.159
上村,0.333,0.189
ジョセリン,0.0,0.189
楓馬,1.0,0.159
よしのぶ,1.0,0.159
合田,1.0,0.159
幸輔,1.0,0.158
亜友美,0.0,0.188
千翔,1.0,0.231
敏正,1.0,0.218
喜明,0.867,0.236
ジェフ,1.0,0.221
ビルマ,0.0,0.157
吉治,1.0,0.186
浩喜,1.0,0.156
英里香,0.0,0.156
古都,0.0,0.156
陽太郎,1.0,0.156
怜士,1.0,0.156
可南子,0.0,0.186
まりん,0.0,0.156
公和,0.5,0.155
要一,1.0,0.185
ゆめこ,0.0,0.155
嘉章,1.0,0.228
神園,1.0,0.154
真大,1.0,0.154
良成,1.0,0.232
寛弥,1.0,0.154
潤潔,0.0,0.199
沙絵,0.0,0.153
眞司,1.0,0.153
友保,0.75,0.198
佳弘,1.0,0.22
広伸,1.0,0.153
スタイル,1.0,0.183
あっこ,0.0,0.153
アフマド,1.0,0.23
昌治,1.0,0.182
豊田,1.0,0.152
ノブヒロ,1.0,0.152
リヤド,1.0,0.212
悠美,0.0,0.151
俊次,1.0,0.181
リンリン,0.0,0.18
眞知子,0.0,0.15
ガルシア,0.75,0.204
グレイ,0.0,0.15
真桜,0.0,0.15
カリーム,1.0,0.195
和斗,1.0,0.149
啓美,0.0,0.149
かりん,0.333,0.179
瑠莉,0.0,0.179
レナト,1.0,0.203
則明,1.0,0.193
ビジネス,1.0,0.148
紀之,1.0,0.178
カリーナ,0.0,0.177
和寿,1.0,0.147
朋彦,1.0,0.147
克江,0.5,0.192
美紀子,0.333,0.177
パウデル,1.0,0.147
ふう,0.0,0.146
エイジ,1.0,0.176
佑二,1.0,0.176
あまの,0.0,0.146
風夏,0.0,0.146
望帆,0.0,0.145
美那,0.0,0.217
亜津子,0.0,0.145
香花,0.067,0.223
信英,0.6,0.199
宏二郎,1.0,0.144
七重,0.0,0.144
由香利,0.0,0.144
ブルナ,0.0,0.144
砂漠,0.0,0.144
風間,0.667,0.173
キラン,0.667,0.173
瑛介,1.0,0.143
教利,1.0,0.143
絵麻,0.0,0.143
克樹,1.0,0.142
あゆ美,0.0,0.142
ゆいか,0.0,0.209
龍夫,1.0,0.142
智己,1.0,0.142
拳太,1.0,0.172
俊太朗,1.0,0.142
綾太,1.0,0.141
アミール,1.0,0.219
昭司,1.0,0.141
顕子,0.0,0.141
卓矢,1.0,0.14
愛衣,0.0,0.14
智帆,0.8,0.194
成海,0.875,0.219
尚平,0.857,0.204
文弥,1.0,0.185
優馬,1.0,0.17
るか,0.0,0.139
このみ,0.0,0.211
ささ,0.75,0.184
明佳,0.789,0.219
雄星,1.0,0.169
広香,0.0,0.138
のこ,0.5,0.138
礼央,1.0,0.138
佑馬,1.0,0.138
坪井,1.0,0.137
知惠子,0.0,0.137
達樹,1.0,0.137
忠勝,1.0,0.197
達広,1.0,0.137
クリストファー,1.0,0.206
まみか,0.0,0.136
のりお,1.0,0.136
美侑,0.0,0.2
シンジ,0.75,0.18
真規,1.0,0.135
芳人,1.0,0.135
ジュナ,0.0,0.134
学東,1.0,0.134
恵莉,0.0,0.134
知生,1.0,0.164
なぎさ,0.0,0.198
絵梨子,0.0,0.163
吉久,1.0,0.133
栄美,0.0,0.133
英太郎,1.0,0.133
ロレナ,0.0,0.133
フェイ,0.0,0.133
れいか,0.0,0.162
隆人,1.0,0.132
エリオ,1.0,0.162
アハメド,1.0,0.206
達子,0.25,0.177
丈志,1.0,0.132
昂太,1.0,0.131
楓花,0.0,0.131
まりや,0.0,0.13
イズミ,0.333,0.16
勝幸,1.0,0.175
アレクス,0.857,0.194
ひろあき,0.643,0.207
久佳,0.0,0.13
哲人,0.667,0.189
佳輝,1.0,0.183
吉中,0.5,0.129
淳彦,1.0,0.129
きいち,1.0,0.129
春満,1.0,0.129
里彩,0.0,0.128
ジュニア,1.0,0.196
菜々穂,0.0,0.128
好明,0.667,0.188
敏昌,1.0,0.192
元晴,1.0,0.157
ゆきひこ,0.5,0.127
栄樹,1.0,0.127
君仁,1.0,0.172
新治,1.0,0.172
ユウコ,0.167,0.187
久人,1.0,0.127
善博,1.0,0.126
寧々,0.0,0.156
美由喜,0.0,0.126
利弘,1.0,0.156
祐美,0.0,0.156
みこ,0.0,0.126
早恵,0.0,0.126
航希,1.0,0.171
好信,1.0,0.125
志奈,0.0,0.125
フセイン,1.0,0.199
梨沙子,0.0,0.125
くりす,0.5,0.125
もりもと,0.5,0.125
隆則,1.0,0.124
史哉,1.0,0.154
尚大,1.0,0.124
重子,0.0,0.124
宏尚,1.0,0.124
後期,1.0,0.154
しんぺい,1.0,0.123
幸和,1.0,0.123
文恵,0.0,0.123
キョウコ,0.0,0.168
高秀,0.75,0.168
佑一,1.0,0.153
エミコ,0.0,0.122
貴章,1.0,0.122
まさお,1.0,0.152
恒樹,1.0,0.122
つばき,0.0,0.166
隆央,1.0,0.121
敏伸,1.0,0.121
道信,1.0,0.166
とぅ,1.0,0.121
英晃,1.0,0.166
高史,1.0,0.12
保子,0.25,0.165
友貴,0.75,0.165
貴嗣,1.0,0.12
雅己,1.0,0.12
芳江,0.0,0.12
かほる,0.0,0.12
由香理,0.0,0.149
てるみ,0.5,0.119
由夏,0.0,0.119
美麗,0.026,0.205
みず,0.5,0.164
マナ,0.0,0.163
手塚,0.667,0.148
吉宏,0.944,0.198
ルル,0.0,0.172
杉浦,0.5,0.118
信彰,1.0,0.182
拓司,1.0,0.118
大晟,1.0,0.148
哲太郎,1.0,0.117
光英,0.333,0.187
友里江,0.0,0.147
創一,1.0,0.117
温子,0.0,0.147
保男,0.5,0.117
次男,1.0,0.17
智弥,1.0,0.116
マガリ,0.0,0.146
日野,0.5,0.161
陽造,1.0,0.116
航河,1.0,0.116
ダカル,1.0,0.116
杏珠,0.0,0.175
静花,0.0,0.16
順姫,0.0,0.115
茉奈,0.0,0.115
耕嗣,1.0,0.115
シモネ,0.0,0.115
サッカー,1.0,0.16
ジェイコ,1.0,0.114
ホン,0.5,0.114
伸晃,1.0,0.114
ジャイロ,1.0,0.144
安輝,1.0,0.144
瑠依,0.0,0.143
ワード,0.5,0.158
タコ,1.0,0.113
直俊,1.0,0.113
勇輔,1.0,0.113
知直,1.0,0.113
マリク,1.0,0.18
アレサンドラ,0.0,0.112
睦男,1.0,0.112
祐典,1.0,0.142
明日美,0.0,0.111
幸広,1.0,0.111
ガレージ,1.0,0.111
湯川,0.5,0.111
キオシ,1.0,0.111
マサヨシ,1.0,0.111
平林,0.0,0.14
富貴子,0.0,0.14
喜彦,1.0,0.11
ジョナス,1.0,0.155
美千穂,0.5,0.11
俊嗣,1.0,0.109
美成,1.0,0.177
修明,0.9,0.181
明徳,1.0,0.139
サチエ,0.0,0.109
織恵,0.0,0.109
ラニ,0.0,0.153
新井,1.0,0.108
勇悟,1.0,0.108
市原,1.0,0.108
真里亜,0.0,0.108
佑季,0.0,0.107
りんご,0.333,0.137
祥弘,1.0,0.137
大登,1.0,0.107
達朗,1.0,0.161
靖江,0.0,0.106
かよの,0.0,0.106
章代,0.0,0.106
政輝,1.0,0.186
昌二,1.0,0.136
道明,0.973,0.191
ともや,1.0,0.135
武尊,1.0,0.135
りょうが,1.0,0.135
やた,0.5,0.105
シホ,0.0,0.105
定幸,1.0,0.104
瑠羽,0.5,0.104
友美子,0.0,0.104
下川,0.5,0.104
育雄,1.0,0.158
紀和,0.5,0.104
悠二,1.0,0.103
ハサン,1.0,0.163
美登里,0.0,0.103
盛之助,1.0,0.103
ちえこ,0.0,0.133
佑奈,0.0,0.103
一紀,1.0,0.132
裕平,0.846,0.178
航一,1.0,0.102
了太,1.0,0.101
もりた,0.0,0.101
滉也,1.0,0.101
アキヒコ,1.0,0.101
憲広,1.0,0.101
幸介,1.0,0.101
実樹,0.0,0.171
リリ,0.333,0.13
星野,0.429,0.168
風香,0.0,0.1
みん,0.25,0.145
ようすけ,0.5,0.1
ラジ,1.0,0.099
実紀,0.5,0.099
万里奈,0.0,0.099
ビクラム,1.0,0.099
敏久,1.0,0.099
もと,1.0,0.099
七帆,0.0,0.099
笑理,0.0,0.098
真義,1.0,0.098
秀司,1.0,0.098
いも,0.5,0.098
成東,1.0,0.128
瑛里菜,0.0,0.098
友祐,1.0,0.128
クレア,0.25,0.143
カンチナ,0.0,0.097
マサトシ,1.0,0.097
ネギ,1.0,0.127
内間,0.5,0.097
英久,0.667,0.127
和大,1.0,0.097
政秀,1.0,0.126
喜美,0.0,0.161
尚彦,1.0,0.126
一斗,1.0,0.126
悦生,1.0,0.096
夢美,0.0,0.126
健志郎,1.0,0.095
しゅんや,1.0,0.095
るん,0.333,0.125
ゆうたろう,1.0,0.095
ウィリアム,1.0,0.168
遥平,1.0,0.094
チカラ,0.667,0.124
ふじこ,0.0,0.094
ムハマド,1.0,0.148
建太,1.0,0.154
石塚,1.0,0.094
かん,1.0,0.093
竹彦,1.0,0.093
岩下,1.0,0.093
桂治,0.8,0.147
信治,0.333,0.137
尚弘,1.0,0.122
リーフ,1.0,0.092
真一朗,1.0,0.092
千帆,0.111,0.162
淳介,1.0,0.092
俊典,1.0,0.146
理那,0.0,0.091
希子,0.0,0.121
隆裕,1.0,0.121
えつこ,0.0,0.091
まあや,0.5,0.091
千聡,0.0,0.091
朋宏,1.0,0.091
好彦,1.0,0.09
でい,0.5,0.09
たかお,1.0,0.09
季子,0.0,0.09
カズユキ,1.0,0.09
泰雅,0.667,0.119
エリ,0.0,0.161
帆乃香,0.0,0.089
喜信,1.0,0.119
月光,0.75,0.156
サムエル,1.0,0.119
正宗,1.0,0.174
優翔,1.0,0.088
元哉,1.0,0.118
エンリケ,1.0,0.142
勇一郎,1.0,0.088
壮汰,1.0,0.088
俊史,1.0,0.088
真莉子,0.0,0.117
ビカス,1.0,0.087
ミサキ,0.333,0.117
晴生,1.0,0.087
シェルパ,1.0,0.087
冨岡,0.5,0.087
敏也,1.0,0.117
流星,0.833,0.169
良磨,1.0,0.086
ロイさん,1.0,0.086
由真,0.5,0.085
サプコタ,1.0,0.085
照二,1.0,0.085
アカ,1.0,0.085
美礼,0.0,0.115
塚本,1.0,0.13
真斗,1.0,0.129
ルイ,0.75,0.129
真彩,0.0,0.128
植田,0.667,0.113
萌佳,0.0,0.082
華音,0.0,0.082
ゆづき,0.0,0.082
凪咲,0.0,0.082
智生,1.0,0.154
ノゾミ,0.0,0.112
康男,1.0,0.126
裕康,0.933,0.16
正哲,1.0,0.155
もん,0.5,0.081
愛也,1.0,0.081
タケ,1.0,0.08
タリク,1.0,0.14
ジョシュア,1.0,0.15
ふうこ,0.0,0.08
譲二,1.0,0.11
宏隆,1.0,0.157
バス,1.0,0.109
美春,0.0,0.165
ユタカ,1.0,0.079
正毅,0.833,0.143
福永,1.0,0.139
凜太郎,1.0,0.109
紗耶,0.0,0.078
陵真,1.0,0.078
康幸,1.0,0.108
ビクトル,1.0,0.148
柚月,0.0,0.108
アセラ,1.0,0.078
道貴,1.0,0.077
ワールド,0.5,0.077
川原,0.667,0.137
亜星,1.0,0.077
森屋,0.5,0.077
弘嗣,1.0,0.077
マルビン,1.0,0.076
与一,1.0,0.076
花凜,0.0,0.076
きよ子,0.0,0.076
アミル,1.0,0.106
秀徳,1.0,0.121
ダリオ,1.0,0.121
翔汰郎,1.0,0.075
かずひろ,1.0,0.105
グレイス,0.0,0.075
コウタ,1.0,0.075
光和,1.0,0.139
祐助,1.0,0.075
相良,0.75,0.12
サラ,0.095,0.158
和豊,1.0,0.074
丸子,0.147,0.16
シンタロウ,1.0,0.074
ヒン,0.667,0.104
知恵美,0.0,0.074
晋司,1.0,0.073
テリー,1.0,0.118
利樹,1.0,0.073
カーン,1.0,0.103
勇哉,1.0,0.073
躑躅,1.0,0.073
那智,1.0,0.073
瑠人,1.0,0.072
インターナショナル,1.0,0.072
辰弘,1.0,0.102
克洋,1.0,0.132
泉希,0.0,0.072
ただ,1.0,0.117
廣光,1.0,0.072
夏香,0.0,0.117
ハンナ,0.0,0.101
テツ,1.0,0.071
亜季,0.0,0.101
昌隆,1.0,0.152
せい,0.4,0.124
舞香,0.0,0.124
楓夏,0.333,0.1
りんか,0.0,0.115
尚浩,1.0,0.13
その子,0.0,0.069
内山,1.0,0.099
光太朗,1.0,0.069
けいご,0.941,0.148
岩本,0.75,0.123
裕俊,1.0,0.129
ユアン,0.5,0.068
パテュム,1.0,0.068
ダイ,1.0,0.113
祐仁,1.0,0.098
サイモン,1.0,0.122
シャン,0.667,0.128
カルマ,1.0,0.097
カイ,0.556,0.137
スエレン,0.0,0.067
カンナ,0.0,0.067
晃三,1.0,0.067
ふうか,0.0,0.066
エレーナ,0.0,0.066
龍之,1.0,0.066
重喜,0.667,0.096
千寛,0.0,0.065
アリレザ,1.0,0.065
貴久子,0.0,0.065
モハン,1.0,0.095
直記,1.0,0.065
河口,0.5,0.065
保夫,1.0,0.064
慶三,1.0,0.064
千波,0.0,0.094
茂明,1.0,0.109
